URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1112CAT1,T1213CAT1,T1314CAT1,T1415CAT1,DCAT1,T1112CAT2,T1213CAT2,T1314CAT2,T1415CAT2,DCAT2,T1112CAT3,T1213CAT3,T1314CAT3,T1415CAT3,DCAT3,T1112CAT4,T1213CAT4,T1314CAT4,T1415CAT4,DCAT4,T1112CAT5,T1213CAT5,T1314CAT5,T1415CAT5,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTOTALINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PTOTALEXPENDITURE,PT1112CAT1,PT1213CAT1,PT1314CAT1,PT1415CAT1,PDCAT1,PT1112CAT2,PT1213CAT2,PT1314CAT2,PT1415CAT2,PDCAT2,PT1112CAT3,PT1213CAT3,PT1314CAT3,PT1415CAT3,PDCAT3,PT1112CAT4,PT1213CAT4,PT1314CAT4,PT1415CAT4,PDCAT4,PT1112CAT5,PT1213CAT5,PT1314CAT5,PT1415CAT5,PDCAT5,T1112CAT1LA,T1213CAT1LA,T1314CAT1LA,T1415CAT1LA,T1112CAT2LA,T1213CAT2LA,T1314CAT2LA,T1415CAT2LA,T1112CAT3LA,T1213CAT3LA,T1314CAT3LA,T1415CAT3LA,T1112CAT4LA,T1213CAT4LA,T1314CAT4LA,T1415CAT4LA,T1112CAT5LA,T1213CAT5LA,T1314CAT5LA,T1415CAT5LA,PT1112CAT1LA,PT1213CAT1LA,PT1314CAT1LA,PT1415CAT1LA,PT1112CAT2LA,PT1213CAT2LA,PT1314CAT2LA,PT1415CAT2LA,PT1112CAT3LA,PT1213CAT3LA,PT1314CAT3LA,PT1415CAT3LA,PT1112CAT4LA,PT1213CAT4LA,PT1314CAT4LA,PT1415CAT4LA,PT1112CAT5LA,PT1213CAT5LA,PT1314CAT5LA,PT1415CAT5LA
131522,Non-London,Primary,403,5.7,LOW,4075,77,4152,1845,104,565,393,304,110,151,49,399,168,63,54,4203,2217,2230,2209,2410,193,118,65,67,104,-14,253,229,222,304,51,42,47,48,49,7,3272,3244,3306,4203,931,98%,2%,,44%,2%,13%,9%,7%,3%,4%,1%,9%,4%,1%,1%,,68%,69%,67%,57%,-11%,4%,2%,2%,2%,-2%,8%,7%,7%,7%,-1%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132161,Non-London,Primary,500,6.8,LOW,4049,120,4169,1647,55,673,387,388,110,134,48,187,41,25,43,3737,2200,2114,2228,2320,120,107,81,56,55,-52,273,253,337,388,115,55,64,50,48,-7,3380,3283,3401,3737,357,97%,3%,,44%,1%,18%,10%,10%,3%,4%,1%,5%,1%,1%,1%,,65%,64%,66%,62%,-3%,3%,2%,2%,1%,-2%,8%,8%,10%,10%,2%,2%,2%,1%,1%,-1%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132196,Non-London,Primary,405,31,MEDIUM,4993,139,5132,2039,41,975,201,391,140,138,19,223,73,134,53,4428,2650,2655,2864,3014,364,14,98,48,41,27,198,242,278,391,193,61,75,89,19,-42,3931,4436,4721,4428,497,97%,3%,,46%,1%,22%,5%,9%,3%,3%,0%,5%,2%,3%,1%,,67%,60%,61%,68%,1%,0%,2%,1%,1%,1%,5%,5%,6%,9%,4%,2%,2%,2%,0%,-2%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132239,Non-London,Special,66,71,HIGH,28127,433,28560,14157,84,5548,1687,1754,658,427,334,2782,682,109,591,28812,20398,19892,19527,19705,-693,826,1013,956,84,-742,1605,1343,1973,1754,149,-328,360,307,334,662,26684,26858,27684,28812,2128,98%,2%,,49%,0%,19%,6%,6%,2%,1%,1%,10%,2%,0%,2%,,76%,74%,71%,68%,-8%,3%,4%,3%,0%,-3%,6%,5%,7%,6%,0%,-1%,1%,1%,1%,2%,100%,100%,100%,100%,0%,18910,16324,17767,18257,299,606,588,174,1605,1739,1940,1947,229,360,299,291,25710,22195,26159,28542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134914,Non-London,Primary,238,20.6,MEDIUM,5303,165,5468,2763,97,747,490,446,152,141,104,286,100,145,139,5611,2898,3096,3185,3510,612,166,71,159,97,-69,346,303,419,446,100,51,90,120,104,53,4667,4784,5073,5611,944,97%,3%,,49%,2%,13%,9%,8%,3%,3%,2%,5%,2%,3%,2%,,62%,65%,63%,63%,1%,4%,1%,3%,2%,-2%,7%,6%,8%,8%,1%,1%,2%,2%,2%,1%,100%,100%,100%,100%,0%,3092,2760,2955,3266,214,147,149,122,327,277,307,390,71,60,59,60,4879,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135203,Non-London,Primary,614,19.5,LOW,4730,121,4851,1963,237,806,472,255,140,198,51,324,45,50,44,4584,2620,2727,2702,2769,149,169,186,135,237,68,209,220,288,255,46,52,53,49,51,-1,4011,4201,4196,4584,573,98%,2%,,43%,5%,18%,10%,6%,3%,4%,1%,7%,1%,1%,1%,,65%,65%,64%,60%,-5%,4%,4%,3%,5%,1%,5%,5%,7%,6%,1%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2955,2730,174,147,149,140,275,277,307,333,52,60,59,51,4106,4202,4418,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135779,Non-London,Primary,206,28,MEDIUM,5904,205,6109,2490,213,1226,412,587,171,260,77,352,118,65,151,6123,3430,3183,3152,3716,286,414,387,301,213,-201,295,333,416,587,292,92,140,71,77,-15,5309,5051,5496,6123,814,97%,3%,,41%,3%,20%,7%,10%,3%,4%,1%,6%,2%,1%,2%,,65%,63%,57%,61%,-4%,8%,8%,5%,3%,-5%,6%,7%,8%,10%,4%,2%,3%,1%,1%,-1%,100%,100%,100%,100%,0%,3092,3142,2955,3266,214,232,149,122,327,333,307,390,71,80,59,60,4879,5094,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135780,Non-London,Primary,463,21,MEDIUM,4900,212,5113,2296,59,921,432,341,143,238,44,330,92,29,51,4975,2636,2775,2978,3217,581,154,142,78,59,-95,246,275,307,341,95,42,61,47,44,2,3825,4181,4344,4975,1150,96%,4%,,46%,1%,19%,9%,7%,3%,5%,1%,7%,2%,1%,1%,,69%,66%,69%,65%,-4%,4%,3%,2%,1%,-3%,6%,7%,7%,7%,1%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135867,Non-London,Primary,741,15.7,LOW,4246,223,4468,1923,243,686,345,278,136,324,56,257,65,31,78,4422,2562,2595,2598,2609,47,143,173,201,243,100,198,199,245,278,80,36,43,58,56,20,3588,3823,3805,4422,834,95%,5%,,43%,5%,16%,8%,6%,3%,7%,1%,6%,1%,1%,2%,,71%,68%,68%,59%,-12%,4%,5%,5%,5%,1%,6%,5%,6%,6%,0%,1%,1%,2%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135872,Non-London,Primary,414,30.2,MEDIUM,5222,65,5286,2015,132,690,477,293,155,196,55,701,149,199,44,5107,2639,2664,2610,2705,66,226,170,148,132,-94,273,321,265,293,20,56,63,59,55,-1,4070,4242,4418,5107,1037,99%,1%,,39%,3%,14%,9%,6%,3%,4%,1%,14%,3%,4%,1%,,65%,63%,59%,53%,-12%,6%,4%,3%,3%,-3%,7%,8%,6%,6%,-1%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2750,3142,2955,3266,174,232,149,122,275,333,307,390,52,80,59,60,4106,5094,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136111,Non-London,Primary,559,18.6,LOW,4414,65,4479,1798,121,852,284,320,135,178,49,264,51,43,52,4147,2518,2330,2453,2650,132,243,113,98,121,-122,234,227,254,320,86,56,55,52,49,-7,3839,3468,3627,4147,308,99%,1%,,43%,3%,21%,7%,8%,3%,4%,1%,6%,1%,1%,1%,,66%,67%,68%,64%,-2%,6%,3%,3%,3%,-3%,6%,7%,7%,8%,2%,1%,2%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2955,2730,174,147,149,140,275,277,307,333,52,60,59,51,4106,4202,4418,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRI,Non-London,Primary,801,,LOW,4456,95,4512,2007,140,726,340,333,115,154,51,245,61,42,48,4405,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,Non-London,Primary,801,,MEDIUM,5199,108,5291,2268,122,1027,422,390,156,188,60,281,81,64,54,5106,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
