URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1112CAT1,T1213CAT1,T1314CAT1,T1415CAT1,DCAT1,T1112CAT2,T1213CAT2,T1314CAT2,T1415CAT2,DCAT2,T1112CAT3,T1213CAT3,T1314CAT3,T1415CAT3,DCAT3,T1112CAT4,T1213CAT4,T1314CAT4,T1415CAT4,DCAT4,T1112CAT5,T1213CAT5,T1314CAT5,T1415CAT5,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTOTALINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PTOTALEXPENDITURE,PT1112CAT1,PT1213CAT1,PT1314CAT1,PT1415CAT1,PDCAT1,PT1112CAT2,PT1213CAT2,PT1314CAT2,PT1415CAT2,PDCAT2,PT1112CAT3,PT1213CAT3,PT1314CAT3,PT1415CAT3,PDCAT3,PT1112CAT4,PT1213CAT4,PT1314CAT4,PT1415CAT4,PDCAT4,PT1112CAT5,PT1213CAT5,PT1314CAT5,PT1415CAT5,PDCAT5,T1112CAT1LA,T1213CAT1LA,T1314CAT1LA,T1415CAT1LA,T1112CAT2LA,T1213CAT2LA,T1314CAT2LA,T1415CAT2LA,T1112CAT3LA,T1213CAT3LA,T1314CAT3LA,T1415CAT3LA,T1112CAT4LA,T1213CAT4LA,T1314CAT4LA,T1415CAT4LA,T1112CAT5LA,T1213CAT5LA,T1314CAT5LA,T1415CAT5LA,PT1112CAT1LA,PT1213CAT1LA,PT1314CAT1LA,PT1415CAT1LA,PT1112CAT2LA,PT1213CAT2LA,PT1314CAT2LA,PT1415CAT2LA,PT1112CAT3LA,PT1213CAT3LA,PT1314CAT3LA,PT1415CAT3LA,PT1112CAT4LA,PT1213CAT4LA,PT1314CAT4LA,PT1415CAT4LA,PT1112CAT5LA,PT1213CAT5LA,PT1314CAT5LA,PT1415CAT5LA
LONDON-PRI,London,Primary,,,MEDIUM,6020,118,6223,2547,250,1122,408,461,203,198,65,248,92,139,107,6116,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON-PRI,London,Primary,,,HIGH,6914,113,7062,2773,273,1216,497,557,278,229,71,277,109,248,125,6950,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON-SEC-WITH-KS4,London,Secondary with KS4,,,LOW,6164,169,6399,3613,156,600,403,600,51,109,90,243,94,75,217,6410,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON-SEC-WITH-KS4,London,Secondary with KS4,,,MEDIUM,7496,154,7703,4029,194,768,475,733,120,135,100,291,128,119,256,7867,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON-SEC-WITH-KS4,London,Secondary with KS4,,,HIGH,8888,146,8989,4602,269,975,647,825,202,169,113,440,182,180,286,8874,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON-SEC-WITHOUT-KS4,London,Secondary without KS4,,,LOW,5907,147,6053,3137,64,888,362,631,86,122,81,372,157,75,183,6156,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON-SPE,London,Special,,,LOW,20373,731,20419,10325,325,3305,146,2313,16,544,0,772,381,387,79,19758,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON-SPE,London,Special,,,MEDIUM,27319,462,27492,9795,379,8763,1472,2047,209,748,303,824,244,581,172,27046,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON-SPE,London,Special,,,HIGH,29195,372,29530,10475,834,8041,1865,2415,356,802,350,839,283,741,186,29602,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-LONDON-PRI,Non-London,Primary,,,LOW,4244,146,4421,2057,122,696,283,348,134,147,58,191,64,70,86,4355,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-LONDON-PRI,Non-London,Primary,,,MEDIUM,4985,98,5100,2150,140,955,346,375,182,169,67,221,72,90,92,4998,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-LONDON-PRI,Non-London,Primary,,,HIGH,5540,90,5659,2313,156,1072,396,420,226,180,77,246,79,106,98,5565,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-LONDON-SEC-WITH-KS4,Non-London,Secondary with KS4,,,LOW,5310,163,5494,3061,107,573,355,493,42,92,95,218,73,58,221,5539,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-LONDON-SEC-WITH-KS4,Non-London,Secondary with KS4,,,MEDIUM,6405,132,6593,3385,157,753,444,618,113,126,111,278,75,84,220,6650,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-LONDON-SEC-WITH-KS4,Non-London,Secondary with KS4,,,HIGH,7079,146,7289,3617,169,804,564,852,160,126,129,283,64,79,220,7462,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-LONDON-SEC-WITHOUT-KS4,Non-London,Secondary without KS4,,,LOW,4527,153,4772,2631,95,484,313,396,37,111,78,223,50,55,118,4811,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-LONDON-SEC-WITHOUT-KS4,Non-London,Secondary without KS4,,,MEDIUM,5822,135,5983,3200,219,654,368,650,107,151,91,261,70,71,191,5849,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-LONDON-SEC-WITHOUT-KS4,Non-London,Secondary without KS4,,,HIGH,5930,79,6009,2993,305,733,303,625,143,241,91,392,31,73,52,5981,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-LONDON-SPE,Non-London,Special,,,LOW,22001,770,23035,8213,322,7911,1620,1742,164,627,322,688,227,231,133,22465,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-LONDON-SPE,Non-London,Special,,,MEDIUM,20955,500,21769,7620,308,7250,1234,1465,226,671,273,702,192,191,130,21463,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-LONDON-SPE,Non-London,Special,,,HIGH,21972,466,22764,8033,377,6852,1464,1721,327,665,287,763,197,257,139,22546,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
